"ID","Type","SKU","Name","Description","Short Description","Regular Price","Sale Price","Categories","Tags","Stock","Weight","Dimensions","Images","Attribute 1 Name","Attribute 1 Value(s)","Attribute 1 Visible","Attribute 1 Global"
"","simple","SHA-HF-001","4Pcs Signature High Borosilicate Glass Storage Bowls With Lid [MULTICOLOUR]","<p>The 4Pcs Signature High Borosilicate Glass Storage Bowls With Lid is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in MULTICOLOUR</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: MULTICOLOUR. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality 4Pcs Signature High Borosilicate Glass Storage Bowls With Lid available in MULTICOLOUR.</p>","2300","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Colour","MULTICOLOUR","1","0"
"","simple","SHA-HF-002","Vintage Nordic 3D Led Electric Fire Place [60CM*10CM*20CM]","<p>The Vintage Nordic 3D Led Electric Fire Place is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in 60CM*10CM*20CM</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: 60CM*10CM*20CM. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Vintage Nordic 3D Led Electric Fire Place available in 60CM*10CM*20CM.</p>","5000","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Size","60CM*10CM*20CM","1","0"
"","simple","SHA-HF-003","Decorative Water Hyacinth Handmade Braided Natural Boho Mirror [60CM]","<p>The Decorative Water Hyacinth Handmade Braided Natural Boho Mirror is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in 60CM</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: 60CM. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Decorative Water Hyacinth Handmade Braided Natural Boho Mirror available in 60CM.</p>","5000","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Size","60CM","1","0"
"","simple","SHA-HF-004","Minimalist Nordic Round Decorative Mirror With A Leather Strap [BLACK/GOLD]","<p>The Minimalist Nordic Round Decorative Mirror With A Leather Strap is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in BLACK/GOLD</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: BLACK/GOLD. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Minimalist Nordic Round Decorative Mirror With A Leather Strap available in BLACK/GOLD.</p>","5000","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Colour","BLACK/GOLD","1","0"
"","simple","SHA-HF-005","Ergonomic Modern Compact Computer Desk [BLACK/BROWN]","<p>The Ergonomic Modern Compact Computer Desk is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in BLACK/BROWN</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: BLACK/BROWN. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Ergonomic Modern Compact Computer Desk available in BLACK/BROWN.</p>","6500","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Colour","BLACK/BROWN","1","0"
"","simple","SHA-KIT-001","40Pcs Professional Makeup Brush Kit [PINK]","<p>The 40Pcs Professional Makeup Brush Kit is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in PINK</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: PINK. Category: Kits Products. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality 40Pcs Professional Makeup Brush Kit available in PINK.</p>","2699","","Kits Products","kit, set, bundle, collection, multi-piece","10","1.5","30x20x15","","Colour","PINK","1","0"
"","simple","SHA-HF-006","Wooden Profile 5 Levels Adjustable Foldable Laptop Table With Cup Slot [WHITE]","<p>The Wooden Profile 5 Levels Adjustable Foldable Laptop Table With Cup Slot is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: WHITE. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Wooden Profile 5 Levels Adjustable Foldable Laptop Table With Cup Slot available in WHITE.</p>","2799","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Colour","WHITE","1","0"
"","simple","SHA-HF-007","Adjustable Telescopic Multi-Corner Shelf Organiser [WHITE]","<p>The Adjustable Telescopic Multi-Corner Shelf Organiser is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: WHITE. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Adjustable Telescopic Multi-Corner Shelf Organiser available in WHITE.</p>","1999","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Colour","WHITE","1","0"
"","simple","SHA-AUTO-001","Rotating Aromatherapy Car Interior Dashboard Air Freshener [RED/BLACK/GOLD/SILVER]","<p>The Rotating Aromatherapy Car Interior Dashboard Air Freshener is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in RED/BLACK/GOLD/SILVER</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: RED/BLACK/GOLD/SILVER. Category: Automotive. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Rotating Aromatherapy Car Interior Dashboard Air Freshener available in RED/BLACK/GOLD/SILVER.</p>","1500","","Automotive","car, auto, vehicle, cleaning, automotive","10","2.5","35x25x15","","Colour","RED/BLACK/GOLD/SILVER","1","0"
"","simple","SHA-HF-008","Adjustable Standing Desk With Wheels [BROWN/BLACK/WHITE]","<p>The Adjustable Standing Desk With Wheels is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in BROWN/BLACK/WHITE</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: BROWN/BLACK/WHITE. Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Adjustable Standing Desk With Wheels available in BROWN/BLACK/WHITE.</p>","4200","","Home & Furniture","home, furniture, decor, interior, modern","10","8.0","80x60x40","","Colour","BROWN/BLACK/WHITE","1","0"
