"ID","Type","SKU","Name","Description","Short Description","Regular Price","Sale Price","Categories","Tags","Stock","Weight","Dimensions","Images","Attribute 1 Name","Attribute 1 Value(s)","Attribute 1 Visible","Attribute 1 Global"
"","simple","SHA-HF-021","Freestanding Bamboo Toilet Paper Roll Holder [BLACK/BROWN]","<p>The Freestanding Bamboo Toilet Paper Roll Holder is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in BLACK/BROWN</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Freestanding Bamboo Toilet Paper Roll Holder available in BLACK/BROWN.</p>","2499","","Home & Furniture","bamboo, toilet, bathroom, paper holder, freestanding","10","1.5","30x15x70","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-HF-021.png","Colour","BLACK/BROWN","1","0"
"","simple","SHA-HF-022","Folding Wall-Mounted Clothes Drying Rack [SILVER/WHITE]","<p>The Folding Wall-Mounted Clothes Drying Rack is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in SILVER/WHITE</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Folding Wall-Mounted Clothes Drying Rack available in SILVER/WHITE.</p>","3799","","Home & Furniture","drying rack, wall mount, laundry, foldable, stainless steel","10","2.5","80x10x50","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-HF-022.png","Colour","SILVER/WHITE","1","0"
"","simple","SHA-HF-023","Stackable Plastic Storage Drawer Organiser [WHITE/GREY]","<p>The Stackable Plastic Storage Drawer Organiser is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE/GREY</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Stackable Plastic Storage Drawer Organiser available in WHITE/GREY.</p>","2199","","Home & Furniture","storage, drawer, organiser, stackable, plastic, closet","10","2.0","40x30x20","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-HF-023.png","Colour","WHITE/GREY","1","0"
"","simple","SHA-HF-024","Over-Door Shoe Organiser Hanging Pocket [CLEAR/GREY]","<p>The Over-Door Shoe Organiser Hanging Pocket is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in CLEAR/GREY</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Home & Furniture. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Over-Door Shoe Organiser Hanging Pocket available in CLEAR/GREY.</p>","1899","","Home & Furniture","shoe organiser, over door, hanging, storage, pocket","10","0.8","45x10x120","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-HF-024.png","Colour","CLEAR/GREY","1","0"
"","simple","SHA-APP-017","Rechargeable Mini Hand Fan Portable USB [WHITE/PINK/BLUE]","<p>The Rechargeable Mini Hand Fan Portable USB is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE/PINK/BLUE</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Rechargeable Mini Hand Fan Portable USB available in WHITE/PINK/BLUE.</p>","1299","","Appliances","fan, portable, USB, rechargeable, mini, handheld","10","0.3","20x5x20","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-017.png","Colour","WHITE/PINK/BLUE","1","0"
"","simple","SHA-APP-018","Electric Egg Boiler Cooker 6-Egg Capacity [WHITE/STAINLESS STEEL]","<p>The Electric Egg Boiler Cooker 6-Egg Capacity is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE/STAINLESS STEEL</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Electric Egg Boiler Cooker 6-Egg Capacity available in WHITE/STAINLESS STEEL.</p>","2199","","Appliances","egg boiler, electric, kitchen, cooker, automatic","10","1.0","20x20x15","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-018.png","Colour","WHITE/STAINLESS STEEL","1","0"
"","simple","SHA-APP-019","Automatic Pan Stirrer with Timer [WHITE/BLACK]","<p>The Automatic Pan Stirrer with Timer is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE/BLACK</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Automatic Pan Stirrer with Timer available in WHITE/BLACK.</p>","1799","","Appliances","pan stirrer, automatic, kitchen, timer, cooking","10","0.5","15x15x10","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-019.png","Colour","WHITE/BLACK","1","0"
"","simple","SHA-APP-020","Cordless Electric Milk Frother Handheld [SILVER/BLACK]","<p>The Cordless Electric Milk Frother Handheld is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in SILVER/BLACK</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Cordless Electric Milk Frother Handheld available in SILVER/BLACK.</p>","999","","Appliances","milk frother, electric, handheld, coffee, cordless","10","0.2","15x3x3","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-020.png","Colour","SILVER/BLACK","1","0"
"","simple","SHA-APP-021","Portable Mini Washing Machine for Underwear [WHITE/BLUE]","<p>The Portable Mini Washing Machine for Underwear is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in WHITE/BLUE</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Portable Mini Washing Machine for Underwear available in WHITE/BLUE.</p>","3499","","Appliances","washing machine, portable, mini, USB, travel, foldable","10","1.5","35x35x30","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-021.png","Colour","WHITE/BLUE","1","0"
"","simple","SHA-APP-022","Ultrasonic Jewelry Cleaner Machine [SILVER/BLACK]","<p>The Ultrasonic Jewelry Cleaner Machine is a premium product designed for quality and durability. Perfect for everyday use, combining functionality with modern aesthetics.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in SILVER/BLACK</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Ultrasonic Jewelry Cleaner Machine available in SILVER/BLACK.</p>","3999","","Appliances","jewelry cleaner, ultrasonic, machine, ring, necklace","10","1.2","20x15x10","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-022.png","Colour","SILVER/BLACK","1","0"
