"ID","Type","SKU","Name","Description","Short Description","Regular Price","Sale Price","Categories","Tags","Stock","Weight","Dimensions","Images","Attribute 1 Name","Attribute 1 Value(s)","Attribute 1 Visible","Attribute 1 Global"
"","simple","SHA-HW-001","Dr Vibro Intelligent Electric Massager [GREEN]","<p>The Dr Vibro Intelligent Electric Massager is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in GREEN</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: GREEN. Category: Health & Wellness. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Dr Vibro Intelligent Electric Massager available in GREEN.</p>","3999","","Health & Wellness","health, wellness, fitness, massage, comfort","10","2.0","35x25x20","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-HW-001.png","Colour","GREEN","1","0"
"","variable","SHA-OD-001-PARENT","Lion King Kids Bicycles","<p>The Lion King Kids Bicycles is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in 12"" RED/BLUE/BLACK|16"" RED/BLUE/BLACK|20"" RED/BLUE/BLACK</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: 12"" RED/BLUE/BLACK|16"" RED/BLUE/BLACK|20"" RED/BLUE/BLACK. Category: Outdoor. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Lion King Kids Bicycles available in 12"" RED/BLUE/BLACK|16"" RED/BLUE/BLACK|20"" RED/BLUE/BLACK.</p>","","","Outdoor","outdoor, garden, kids, play, exterior","10","5.0","60x40x30","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-OD-001.png","Size","12"" RED/BLUE/BLACK|16"" RED/BLUE/BLACK|20"" RED/BLUE/BLACK","1","0"
"","variation","SHA-OD-001-1","","","","5999","","Outdoor","outdoor, garden, kids, play, exterior","10","5.0","60x40x30","","Size","12"" RED/BLUE/BLACK","1","0"
"","variation","SHA-OD-001-2","","","","6500","","Outdoor","outdoor, garden, kids, play, exterior","10","5.0","60x40x30","","Size","16"" RED/BLUE/BLACK","1","0"
"","variation","SHA-OD-001-3","","","","6999","","Outdoor","outdoor, garden, kids, play, exterior","10","5.0","60x40x30","","Size","20"" RED/BLUE/BLACK","1","0"
"","simple","SHA-APP-001","39Pcs Car Detail Kit With A Vacuum Cleaner And Spray [BLUE/RED]","<p>The 39Pcs Car Detail Kit With A Vacuum Cleaner And Spray is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in BLUE/RED</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: BLUE/RED. Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality 39Pcs Car Detail Kit With A Vacuum Cleaner And Spray available in BLUE/RED.</p>","5999","","Appliances","appliance, electric, home appliance, kitchen, modern","10","3.0","40x30x25","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-001.png","Colour","BLUE/RED","1","0"
"","simple","SHA-APP-002","Wireless Car Wash Spray Gun Machine With Portable 248V Lithium Battery [BLACK]","<p>The Wireless Car Wash Spray Gun Machine With Portable 248V Lithium Battery is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in BLACK</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: BLACK. Category: Appliances. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Wireless Car Wash Spray Gun Machine With Portable 248V Lithium Battery available in BLACK.</p>","3500","","Appliances","appliance, electric, home appliance, kitchen, modern","10","3.0","40x30x25","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-APP-002.png","Colour","BLACK","1","0"
"","variable","SHA-FBA-001-PARENT","Skate Shooes Full Set","<p>The Skate Shooes Full Set is a premium product designed for quality and durability. Perfect for everyday use, it combines functionality with modern aesthetics, making it an excellent choice for your home or lifestyle needs.</p><ul><li>High-quality materials for long-lasting performance</li><li>Available in RED/BLUE SMALL 31-34|RED/BLUE MEDIUM 35-38|RED/BLUE LARGE 39-42</li><li>Easy to use and maintain</li><li>Stylish design suitable for any setting</li></ul><p>Specifications: Variation: RED/BLUE SMALL 31-34|RED/BLUE MEDIUM 35-38|RED/BLUE LARGE 39-42. Category: Fashion & Beauty Accessories. Backed by Shalina Mart's 7-day return policy and free delivery on orders above KSh 2,500.</p>","<p>✓ Free delivery on orders above KSh 2,500</p><p>✓ 7-day easy returns</p><p>✓ Secure M-Pesa checkout</p><p>Premium quality Skate Shooes Full Set available in RED/BLUE SMALL 31-34|RED/BLUE MEDIUM 35-38|RED/BLUE LARGE 39-42.</p>","","","Fashion & Beauty Accessories","fashion, beauty, accessory, style, women","10","0.5","20x15x10","https://shalimart.co.ke/wp-content/uploads/shalina-mart-images/SHA-FBA-001.png","Size","RED/BLUE SMALL 31-34|RED/BLUE MEDIUM 35-38|RED/BLUE LARGE 39-42","1","0"
"","variation","SHA-FBA-001-1","","","","5500","","Fashion & Beauty Accessories","fashion, beauty, accessory, style, women","10","0.5","20x15x10","","Size","RED/BLUE SMALL 31-34","1","0"
"","variation","SHA-FBA-001-2","","","","5500","","Fashion & Beauty Accessories","fashion, beauty, accessory, style, women","10","0.5","20x15x10","","Size","RED/BLUE MEDIUM 35-38","1","0"
